Location,zip_code
"(41.87295, -87.66913)",60612
"(41.89576474564, -87.6259080327)",60611
"(41.910337, -87.670072)",60622
"(41.935733, -87.663576)",60657
"(41.961507, -87.671387)",60613
"(41.91552, -87.687022)",60647
"(41.9779966544, -87.6680471047)",60640
"(41.79172820953, -87.583945009)",60637
"(41.872131, -87.746619)",60644
"(41.803023, -87.664699)",60609
"(41.92459, -87.72785)",60639
"(41.880422, -87.642746)",60661
"(41.891578, -87.648384)",60642
"(41.957921, -87.673567)",60613
"(41.795264, -87.596471)",60637
"(41.910522, -87.653106)",60642
"(41.896362458, -87.6540612729)",60642
"(41.91402671273, -87.705126462)",60647
"(41.890359, -87.617532)",60611
"(41.795212, -87.580715)",60615
"(41.89184737210993, -87.62058019638062)",60611
"(41.907781, -87.685854)",60622
"(41.877945, -87.662007)",60607
"(41.897448, -87.628722)",60610
"(41.909668, -87.648128)",60642
"(41.874325, -87.725704)",60624
"(41.880419, -87.655519)",60607
"(41.88283, -87.661206)",60612
"(41.943739, -87.66402)",60657
"(41.96115407569, -87.7165690733)",60618
"(41.881892, -87.648789)",60607
"(41.834734, -87.625813)",60612
"(41.9093960065, -87.6776919292)",60622
"(41.92154, -87.653818)",60614
"(41.88634906269, -87.6175165471)",60601
"(41.889906, -87.634266)",60654
"(41.965845, -87.645361)",60640
"(41.88137, -87.67493)",60612
"(41.793242, -87.587782)",60637
"(41.877618, -87.673895)",60612
"(41.932418, -87.652705)",60614
"(41.956057, -87.668835)",60613
"(41.79949429373, -87.5864498959)",60615
"(41.917805, -87.682437)",60647
"(41.871514, -87.669886)",60612
"(41.827059, -87.64572)",60609
"(41.847203, -87.646795)",60608
"(41.9105780349, -87.6494219288)",60642
"(41.953733, -87.740569)",60641
"(41.874754, -87.649807)",60607
"(41.864883, -87.647071)",60608
"(41.92556258, -87.65840426)",60614
"(41.838556, -87.608218)",60616
"(41.882664, -87.63253)",60602
"(41.98403669612, -87.6523104689)",60660
"(42.048214, -87.683485)",60201
"(41.80931770924, -87.633449288)",60612
"(41.872773, -87.623981)",60605
"(41.884069, -87.656853)",60607
"(41.85418424947, -87.6191537415)",60616
"(41.874053, -87.627716)",60605
"(41.80887, -87.66454)",60609
"(41.979851, -87.681932)",60625
"(41.794853, -87.618691)",60615
"(41.90021949323, -87.6429854676)",60610
"(42.009074, -87.67419)",60626
"(41.890028, -87.636618)",60654
"(41.8776415962753, -87.64961779117584)",60607
"(41.874255, -87.639573)",60699
"(41.920771, -87.663712)",60614
"(41.883668, -87.64867)",60607
"(41.774074, -87.663815)",60636
"(41.947326, -87.717582)",60618
"(41.8854833079, -87.6523048564)",60607
"(41.862378, -87.651062)",60608
"(41.885837, -87.6355)",60606
"(41.953393, -87.732002)",60641
"(41.855136, -87.654127)",60608
"(41.890573, -87.622072)",60611
"(41.876243, -87.624426)",60605
"(42.048308, -87.698224)",60201
"(41.96909, -87.674237)",60640
"(41.896746973093805, -87.63566762208939)",60610
"(41.886875, -87.62603)",60601
"(41.886024, -87.624117)",60601
"(41.87934437346, -87.6319852213)",60604
"(41.88592, -87.66717)",60612
"(41.8750236280333, -87.6330940425396)",60605
"(41.856268, -87.613348)",60616
"(41.963982, -87.638181)",60640
"(42.019159, -87.673573)",60626
"(41.88461618962, -87.6445705849)",60661
"(41.8777079559, -87.6353211408)",60606
"(41.78602, -87.674167)",60636
"(41.75094, -87.61379)",60619
"(41.881319815, -87.6295209193)",60603
"(41.9256018819, -87.6537080423)",60614
"(41.886835, -87.62232)",60601
"(41.882134, -87.625125)",60602
"(41.89766, -87.62351)",60611
"(41.894666, -87.638437)",60654
"(41.885637, -87.641823)",60661
"(41.75787144829, -87.54938625)",60649
"(41.88602082773, -87.6308760584)",60612
"(41.94454, -87.654678)",60657
"(41.87464, -87.65703)",60607
"(41.884114, -87.654264)",60607
"(41.890762, -87.631697)",60654
"(41.861267, -87.656625)",60612
"(41.8513751729, -87.6188346489)",60616
"(41.886616486027656, -87.6580399274826)",60607
"(41.876268, -87.629155)",60605
"(41.884728, -87.619521)",60601
"(41.88917683258, -87.6385057718)",60654
"(41.870257, -87.639474)",60607
"(41.889899, -87.671473)",60622
"(41.90096039, -87.62377664)",60611
"(41.890173, -87.626185)",60611
"(41.883165, -87.6511)",60607
"(41.80839, -87.656526)",60609
"(41.889187, -87.627754)",60611
"(41.788746, -87.601334)",60637
"(41.83452988563, -87.6318229814)",60616
"(41.916017, -87.668879)",60642
"(41.8810317, -87.62408432)",60603
"(41.884576228, -87.63188991)",60602
"(41.892048, -87.689397)",60612
"(41.84404003127, -87.6952959227)",60608
"(41.88949181977, -87.6882193648)",60612
"(41.87184, -87.64664)",60607
"(41.926277, -87.630834)",60614
"(41.808227, -87.67718)",60609
"(41.895634, -87.672069)",60622
"(41.819102, -87.643278)",60609
"(41.8759326655, -87.6305845355)",60605
"(41.8847302006, -87.6277335692)",60602
"(41.875806, -87.755285)",60644
"(41.867324, -87.648625)",60608
"(41.78509714636, -87.6010727606)",60637
"(41.877181, -87.627844)",60604
"(41.8793563587, -87.6297910363)",60603
"(41.886976, -87.612813)",60601
"(41.81620767856, -87.6348193497)",60609
"(41.830777, -87.632504)",60609
"(41.87785, -87.62408)",60604
"(41.875885, -87.640795)",60607
"(41.813996, -87.666589)",60609
"(41.897764, -87.642884)",60654
"(41.878166, -87.631929)",60604
"(41.791478, -87.599861)",60612
"(41.871737, -87.65103)",60607
"(41.79430062054, -87.6014497734)",60637
"(41.914166, -87.716755)",60647
"(41.877917, -87.735737)",60624
"(41.877245, -87.639366)",60607
"(41.87947235235, -87.6256886059)",60603
"(41.882242, -87.641066)",60661
"(41.884241, -87.629634)",60602
"(41.87943409140013, -87.63550400733948)",60606
"(41.87146651779, -87.6409491327)",60612
"(41.8839840647265, -87.6246839761734)",60602
"(41.880317, -87.635185)",60606
"(41.888243, -87.63639)",60654
"(41.87811603010527, -87.63983845710754)",60606
"(41.892278, -87.612043)",60611
"(41.866095, -87.607267)",60605
"(41.885951, -87.677009)",60612
"(41.880958, -87.616743)",60601
"(41.88338, -87.64117)",60661
"(41.882091, -87.639833)",60661
"(41.883073, -87.656952)",60607
"(41.879255, -87.639904)",60606
"(41.76906172032, -87.6446135779)",60621
"(41.856802, -87.633879)",60616
"(41.883132, -87.637321)",60606
"(41.779374, -87.664843)",60636
"(41.88169, -87.63953)",60661
"(41.865312, -87.617867)",60605
"(41.86722595682, -87.6153553902)",60605
